,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,4,2,12,0,14,0,4,8,2,6,10
2,0,0,0,2,0,2,0,8,0,4,12,10,4,6,8,8
3,8,6,10,4,8,6,0,6,4,4,0,0,0,4,2,2
4,0,0,0,4,0,2,4,2,0,12,8,4,6,8,10,4
5,6,2,4,8,6,10,6,2,2,8,2,0,2,0,4,2
6,0,10,6,6,10,0,4,12,2,4,0,0,6,4,0,0
7,2,0,0,4,4,4,4,2,10,4,4,8,4,4,4,6
8,0,0,0,10,0,4,4,6,0,6,6,6,6,0,8,8
9,10,2,0,2,10,4,6,2,0,6,0,4,6,2,4,6
10,0,10,6,0,14,6,4,0,4,6,6,0,4,0,2,2
11,2,6,2,10,2,2,4,0,4,2,6,0,2,8,14,0
12,0,0,0,8,0,12,12,4,0,8,0,4,2,10,2,2
13,8,2,8,0,0,4,2,0,2,8,14,2,6,2,4,2
14,0,4,4,2,4,2,4,4,10,4,4,4,4,4,2,8
15,4,6,4,6,2,2,4,8,6,2,6,2,0,6,2,4
16,0,0,0,4,0,12,4,8,0,4,2,6,2,14,0,8
17,8,2,2,6,4,0,2,0,8,4,12,2,10,0,2,2
18,0,2,8,2,4,8,0,8,8,0,2,2,4,2,14,0
19,4,4,12,0,2,2,2,10,2,2,2,2,4,4,4,8
20,0,6,4,4,6,4,6,2,8,6,6,2,2,0,0,8
21,4,8,2,8,2,4,8,0,4,2,2,2,2,6,8,2
22,0,6,10,2,8,4,2,0,2,2,2,8,4,6,4,4
23,0,6,6,0,6,2,4,4,6,2,2,10,6,8,2,0
24,0,8,4,6,6,0,6,2,4,0,4,2,10,0,6,6
25,4,2,4,8,4,2,10,2,2,2,6,8,2,6,0,2
26,0,8,6,4,4,0,6,4,4,8,0,10,2,2,2,4
27,4,10,2,0,2,4,2,4,8,2,2,8,4,2,8,2
28,0,6,8,8,4,2,8,0,12,0,10,0,4,0,2,0
29,0,2,0,6,2,8,4,6,2,0,4,2,4,10,0,14
30,0,4,8,2,4,6,0,4,10,0,2,6,4,8,4,2
31,0,6,8,0,10,6,4,6,4,2,2,10,4,0,0,2
32,0,0,0,0,0,4,4,8,0,2,2,4,10,16,12,2
33,10,8,8,0,8,4,2,4,0,6,6,6,0,0,2,0
34,12,6,4,4,2,4,10,2,0,4,4,2,4,4,0,2
35,2,2,0,6,0,2,4,0,4,12,4,2,6,4,8,8
36,4,8,2,12,6,4,2,10,2,2,2,4,2,0,4,0
37,6,0,2,0,8,2,0,2,8,8,2,2,4,4,10,6
38,6,2,0,4,4,0,4,0,4,2,14,0,8,10,0,6
39,0,2,4,16,8,6,6,6,0,2,4,4,0,2,2,2
40,6,2,10,0,6,4,0,4,4,2,4,8,2,2,8,2
41,0,2,8,4,0,4,0,6,4,10,4,8,4,4,4,2
42,2,6,0,4,2,4,4,6,4,8,4,4,4,2,4,6
43,10,2,6,6,4,4,8,0,4,2,2,0,2,4,4,6
44,10,4,6,2,4,2,2,2,4,10,4,4,0,2,6,2
45,4,2,4,4,4,2,4,16,2,0,0,4,4,2,6,6
46,4,0,2,10,0,6,10,4,2,6,6,2,2,0,2,8
47,8,2,0,0,4,4,4,2,6,4,6,2,4,8,4,6
48,0,10,8,6,2,0,4,2,10,4,4,6,2,0,6,0
49,2,6,2,0,4,2,8,8,2,2,2,0,2,12,6,6
50,2,0,4,8,2,8,4,4,8,4,2,8,6,2,0,2
51,4,4,6,8,6,6,0,2,2,2,6,4,12,0,0,2
52,0,6,2,2,16,2,2,2,12,2,4,0,4,2,0,8
53,4,6,0,10,8,0,2,2,6,0,0,6,2,10,2,6
54,4,4,4,4,0,6,6,4,4,4,4,4,0,6,2,8
55,4,8,2,4,2,2,6,0,2,4,8,4,10,0,6,2
56,0,8,12,0,2,2,6,6,2,10,2,2,0,8,0,4
57,2,6,4,0,6,4,6,4,8,0,4,4,2,4,8,2
58,6,0,2,2,4,6,4,4,4,2,2,6,12,2,6,2
59,2,2,6,0,0,10,4,8,4,2,4,8,4,4,0,6
60,0,2,4,2,12,2,0,6,2,0,2,8,4,6,4,10
61,4,6,8,6,2,2,2,2,10,2,6,6,2,4,2,0
62,8,6,4,4,2,10,2,0,2,2,4,2,4,2,10,2
63,2,6,4,0,0,10,8,2,2,8,6,4,6,2,0,4
