,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,6,0,2,4,4,0,10,12,4,10,6,2,4
2,0,0,0,8,0,4,4,4,0,6,8,6,12,6,4,2
3,14,4,2,2,10,6,4,2,6,4,4,0,2,2,2,0
4,0,0,0,6,0,10,10,6,0,4,6,4,2,8,6,2
5,4,8,6,2,2,4,4,2,0,4,4,0,12,2,4,6
6,0,4,2,4,8,2,6,2,8,4,4,2,4,2,0,12
7,2,4,10,4,0,4,8,4,2,4,8,2,2,2,4,4
8,0,0,0,12,0,8,8,4,0,6,2,8,8,2,2,4
9,10,2,4,0,2,4,6,0,2,2,8,0,10,0,2,12
10,0,8,6,2,2,8,6,0,6,4,6,0,4,0,2,10
11,2,4,0,10,2,2,4,0,2,6,2,6,6,4,2,12
12,0,0,0,8,0,6,6,0,0,6,6,4,6,6,14,2
13,6,6,4,8,4,8,2,6,0,6,4,6,0,2,0,2
14,0,4,8,8,6,6,4,0,6,6,4,0,0,4,0,8
15,2,0,2,4,4,6,4,2,4,8,2,2,2,6,8,8
16,0,0,0,0,0,0,2,14,0,6,6,12,4,6,8,6
17,6,8,2,4,6,4,8,6,4,0,6,6,0,4,0,0
18,0,8,4,2,6,6,4,6,6,4,2,6,6,0,4,0
19,2,4,4,6,2,0,4,6,2,0,6,8,4,6,4,6
20,0,8,8,0,10,0,4,2,8,2,2,4,4,8,4,0
21,0,4,6,4,2,2,4,10,6,2,0,10,0,4,6,4
22,0,8,10,8,0,2,2,6,10,2,0,2,0,6,2,6
23,4,4,6,0,10,6,0,2,4,4,4,6,6,6,2,0
24,0,6,6,0,8,4,2,2,2,4,6,8,6,6,2,2
25,2,6,2,4,0,8,4,6,10,4,0,4,2,8,4,0
26,0,6,4,0,4,6,6,6,6,2,2,0,4,4,6,8
27,4,4,2,4,10,6,6,4,6,2,2,4,2,2,4,2
28,0,10,10,6,6,0,0,12,6,4,0,0,2,4,4,0
29,4,2,4,0,8,0,0,2,10,0,2,6,6,6,14,0
30,0,2,6,0,14,2,0,0,6,4,10,8,2,2,6,2
31,2,4,10,6,2,2,2,8,6,8,0,0,0,4,6,4
32,0,0,0,10,0,12,8,2,0,6,4,4,4,2,0,12
33,0,4,2,4,4,8,10,0,4,4,10,0,4,0,2,8
34,10,4,6,2,2,8,2,2,2,2,6,0,4,0,4,10
35,0,4,4,8,0,2,6,0,6,6,2,10,2,4,0,10
36,12,0,0,2,2,2,2,0,14,14,2,0,2,6,2,4
37,6,4,4,12,4,4,4,10,2,2,2,0,4,2,2,2
38,0,0,4,10,10,10,2,4,0,4,6,4,4,4,2,0
39,10,4,2,0,2,4,2,0,4,8,0,4,8,8,4,4
40,12,2,2,8,2,6,12,0,0,2,6,0,4,0,6,2
41,4,2,2,10,0,2,4,0,0,14,10,2,4,6,0,4
42,4,2,4,6,0,2,8,2,2,14,2,6,2,6,2,2
43,12,2,2,2,4,6,6,2,0,2,6,2,6,0,8,4
44,4,2,2,4,0,2,10,4,2,2,4,8,8,4,2,6
45,6,2,6,2,8,4,4,4,2,4,6,0,8,2,0,6
46,6,6,2,2,0,2,4,6,4,0,6,2,12,2,6,4
47,2,2,2,2,2,6,8,8,2,4,4,6,8,2,4,2
48,0,4,6,0,12,6,2,2,8,2,4,4,6,2,2,4
49,4,8,2,10,2,2,2,2,6,0,0,2,2,4,10,8
50,4,2,6,4,4,2,2,4,6,6,4,8,2,2,8,0
51,4,4,6,2,10,8,4,2,4,0,2,2,4,6,2,4
52,0,8,16,6,2,0,0,12,6,0,0,0,0,8,0,6
53,2,2,4,0,8,0,0,0,14,4,6,8,0,2,14,0
54,2,6,2,2,8,0,2,2,4,2,6,8,6,4,10,0
55,2,2,12,4,2,4,4,10,4,4,2,6,0,2,2,4
56,0,6,2,2,2,0,2,2,4,6,4,4,4,6,10,10
57,6,2,2,4,12,6,4,8,4,0,2,4,2,4,4,0
58,6,4,6,4,6,8,0,6,2,2,6,2,2,6,4,0
59,2,6,4,0,0,2,4,6,4,6,8,6,4,4,6,2
60,0,10,4,0,12,0,4,2,6,0,4,12,4,4,2,0
61,0,8,6,2,2,6,0,8,4,4,0,4,0,12,4,4
62,4,8,2,2,2,4,4,14,4,2,0,2,0,8,4,4
63,4,8,4,2,4,0,2,4,4,2,4,8,8,6,2,2
