,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,4,0,2,6,4,0,14,8,6,8,4,6,2
2,0,0,0,2,0,4,6,4,0,0,4,6,10,10,12,6
3,4,8,4,8,4,6,4,2,4,2,2,4,6,2,0,4
4,0,0,0,0,0,6,0,14,0,6,10,4,10,6,4,4
5,2,0,4,8,2,4,6,6,2,0,8,4,2,4,10,2
6,0,12,6,4,6,4,6,2,2,10,2,8,2,0,0,0
7,4,6,6,4,2,4,4,2,6,4,2,4,4,6,0,6
8,0,0,0,4,0,4,0,8,0,10,16,6,6,0,6,4
9,14,2,4,10,2,8,2,6,2,4,0,0,2,2,2,4
10,0,6,6,2,10,4,10,2,6,2,2,4,2,2,4,2
11,6,2,2,0,2,4,6,2,10,2,0,6,6,4,4,8
12,0,0,0,4,0,14,0,10,0,6,2,4,4,8,6,6
13,6,2,6,2,10,2,0,4,0,10,4,2,8,2,2,4
14,0,6,12,8,0,4,2,0,8,2,4,4,6,2,0,6
15,0,8,2,0,6,6,8,2,4,4,4,6,8,0,4,2
16,0,0,0,8,0,4,10,2,0,2,8,10,0,10,6,4
17,6,6,4,6,4,0,6,4,8,2,10,2,2,4,0,0
18,0,6,2,6,2,4,12,4,6,4,0,4,4,6,2,2
19,4,0,4,0,8,6,6,0,0,2,0,6,4,8,2,14
20,0,6,6,4,10,0,2,12,6,2,2,2,4,4,2,2
21,6,8,2,0,8,2,0,2,2,2,2,2,2,14,10,2
22,0,8,6,4,2,2,4,2,6,4,6,2,6,0,6,6
23,6,4,8,6,4,4,0,4,6,2,4,4,4,2,4,2
24,0,6,4,6,10,4,0,2,4,8,0,0,4,8,2,6
25,2,4,6,4,4,2,4,2,6,4,6,8,0,6,4,2
26,0,6,8,4,2,4,2,2,8,2,2,6,2,4,4,8
27,0,6,4,4,0,12,6,4,2,2,2,4,4,2,10,2
28,0,4,6,6,12,0,4,0,10,2,6,2,0,0,10,2
29,0,6,2,2,6,0,4,16,4,4,2,0,0,4,6,8
30,0,4,8,2,10,6,6,0,8,4,0,2,4,4,0,6
31,4,2,6,6,2,2,2,4,8,6,10,6,4,0,0,2
32,0,0,0,2,0,12,10,4,0,0,0,2,14,2,8,10
33,0,4,6,8,2,10,4,2,2,6,4,2,6,2,0,6
34,4,12,8,4,2,2,0,0,2,8,8,6,0,6,0,2
35,8,2,0,2,8,4,2,6,4,8,2,2,6,4,2,4
36,10,4,0,0,0,4,0,2,6,8,6,10,8,0,2,4
37,6,0,12,2,8,6,10,0,0,8,2,6,0,0,2,2
38,2,2,4,4,2,2,10,14,2,0,4,2,2,4,6,4
39,6,0,0,2,6,4,2,4,4,4,8,4,8,0,6,6
40,8,0,8,2,4,12,2,0,2,6,2,0,6,2,0,10
41,0,2,4,10,2,8,6,4,0,10,0,2,10,0,2,4
42,4,0,4,8,6,2,4,4,6,6,2,6,2,2,4,4
43,2,2,6,4,0,2,2,6,2,8,8,4,4,4,8,2
44,10,6,8,6,0,6,4,4,4,2,4,4,0,0,2,4
45,2,2,2,4,0,0,0,2,8,4,4,6,10,2,14,4
46,2,4,0,2,10,4,2,0,2,2,6,2,8,8,10,2
47,12,4,6,8,2,6,2,8,0,4,0,2,0,8,2,0
48,0,4,0,2,4,4,8,6,10,6,2,12,0,0,0,6
49,0,10,2,0,6,2,10,2,6,0,2,0,6,6,4,8
50,8,4,6,0,6,4,4,8,4,6,8,0,2,2,2,0
51,2,2,6,10,2,0,0,6,4,4,12,8,4,2,2,0
52,0,12,6,4,6,0,4,4,4,0,4,6,4,2,4,4
53,0,12,4,6,2,4,4,0,10,0,0,8,0,8,0,6
54,8,2,4,0,4,0,4,2,0,8,4,2,6,16,2,2
55,6,2,2,2,6,6,4,8,2,2,6,2,2,2,4,8
56,0,8,8,10,6,2,2,0,4,0,4,2,4,0,4,10
57,0,2,0,0,8,0,10,4,10,0,8,4,4,4,4,6
58,4,0,2,8,4,2,2,2,4,8,2,0,4,10,10,2
59,16,4,4,2,8,2,2,6,4,4,4,2,0,2,2,2
60,0,2,6,2,8,4,6,0,10,2,2,4,4,10,4,0
61,0,16,10,2,4,2,4,2,8,0,0,8,0,6,2,0
62,4,4,0,10,2,4,2,14,4,2,6,6,0,0,6,0
63,4,0,0,2,0,8,2,4,0,2,4,4,4,14,10,6
