,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,16,0,0,16,16,0,0,0,0,0
2,0,0,0,8,0,4,4,8,0,4,4,8,8,8,8,0
3,8,6,2,0,2,4,8,2,6,0,4,6,0,6,2,8
4,0,0,0,8,0,0,12,4,0,12,0,4,8,4,4,8
5,4,2,2,8,2,12,0,2,2,0,12,2,8,2,2,4
6,0,8,8,4,8,8,0,0,8,0,8,0,4,0,0,8
7,4,2,6,4,6,0,16,6,2,0,0,2,4,2,6,4
8,0,0,0,4,0,8,4,8,0,4,8,8,4,8,8,0
9,8,4,4,4,4,0,8,4,4,0,0,4,4,4,4,8
10,0,6,6,0,6,4,4,6,6,4,4,6,0,6,6,0
11,0,12,0,8,0,0,0,0,12,0,0,12,8,12,0,0
12,0,0,0,4,0,8,4,8,0,4,8,8,4,8,8,0
13,8,4,4,4,4,0,0,4,4,8,0,4,4,4,4,8
14,0,6,6,4,6,0,4,6,6,4,0,6,4,6,6,0
15,0,6,6,4,6,4,0,6,6,0,4,6,4,6,6,0
16,0,0,0,0,0,8,12,4,0,12,8,4,0,4,4,8
17,4,2,2,16,2,4,0,2,2,0,4,2,16,2,2,4
18,0,0,0,8,0,4,4,8,0,4,4,8,8,8,8,0
19,8,2,6,0,6,4,0,6,2,8,4,2,0,2,6,8
20,0,8,8,0,8,0,8,0,8,8,0,0,0,0,0,16
21,8,4,4,0,4,8,0,4,4,0,8,4,0,4,4,8
22,0,8,8,4,8,8,0,0,8,0,8,0,4,0,0,8
23,4,6,2,4,2,0,0,2,6,16,0,6,4,6,2,4
24,0,8,8,8,8,4,0,0,8,0,4,0,8,0,0,8
25,4,4,4,0,4,4,16,4,4,0,4,4,0,4,4,4
26,0,6,6,4,6,0,4,6,6,4,0,6,4,6,6,0
27,0,6,6,4,6,4,0,6,6,0,4,6,4,6,6,0
28,0,8,8,8,8,4,0,0,8,0,4,0,8,0,0,8
29,4,4,4,0,4,4,0,4,4,16,4,4,0,4,4,4
30,0,6,6,0,6,4,4,6,6,4,4,6,0,6,6,0
31,0,0,12,8,12,0,0,12,0,0,0,0,8,0,12,0
32,0,0,0,8,0,0,0,12,0,0,0,12,8,12,12,0
33,0,4,8,0,8,4,8,8,4,0,4,4,0,4,8,0
34,8,2,2,0,2,4,8,6,2,8,4,6,0,6,6,0
35,4,6,2,8,2,4,0,2,6,0,4,6,8,6,2,4
36,0,6,6,4,6,4,0,6,6,0,4,6,4,6,6,0
37,0,8,4,4,4,0,0,4,8,8,0,8,4,8,4,0
38,0,6,6,0,6,4,8,2,6,8,4,2,0,2,2,8
39,4,6,2,8,2,4,0,2,6,0,4,6,8,6,2,4
40,16,4,4,0,4,4,4,4,4,4,4,4,0,4,4,0
41,0,6,2,8,2,4,0,2,6,8,4,6,8,6,2,0
42,0,2,2,16,2,4,4,2,2,4,4,2,16,2,2,0
43,8,0,4,0,4,8,16,4,0,0,8,0,0,0,4,8
44,8,4,4,4,4,0,8,4,4,8,0,4,4,4,4,0
45,4,2,6,4,6,8,0,6,2,0,8,2,4,2,6,4
46,16,0,0,0,0,16,0,0,0,0,16,0,0,0,0,16
47,16,0,0,0,0,0,16,0,0,16,0,0,0,0,0,16
48,0,6,6,4,6,4,0,6,6,0,4,6,4,6,6,0
49,0,8,4,4,4,0,0,4,8,8,0,8,4,8,4,0
50,16,6,6,4,6,0,4,2,6,4,0,2,4,2,2,0
51,0,2,6,4,6,8,8,6,2,0,8,2,4,2,6,0
52,0,12,12,8,12,0,0,0,12,0,0,0,8,0,0,0
53,0,4,8,0,8,4,8,8,4,0,4,4,0,4,8,0
54,0,2,2,4,2,0,4,6,2,4,0,6,4,6,6,16
55,0,2,6,4,6,8,8,6,2,0,8,2,4,2,6,0
56,0,4,4,0,4,4,4,4,4,4,4,4,0,4,4,16
57,0,6,2,8,2,4,0,2,6,8,4,6,8,6,2,0
58,0,4,4,0,4,8,8,4,4,8,8,4,0,4,4,0
59,16,4,4,0,4,0,0,4,4,0,0,4,0,4,4,16
60,0,4,4,4,4,0,8,4,4,8,0,4,4,4,4,8
61,4,2,6,4,6,8,0,6,2,0,8,2,4,2,6,4
62,0,2,2,8,2,12,4,2,2,4,12,2,8,2,2,0
63,8,4,0,8,0,0,0,0,4,16,0,4,8,4,0,8
