,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,4,4,14,0,12,4,6,2,6,6,4
2,0,0,0,0,0,12,2,2,0,4,0,4,8,12,6,14
3,8,2,12,2,6,8,6,0,6,4,4,2,2,0,0,2
4,0,0,0,8,0,4,4,8,0,8,8,12,2,6,2,2
5,6,0,0,2,8,0,8,4,0,2,6,0,10,6,6,6
6,0,2,12,0,8,4,8,2,4,4,4,2,6,0,6,2
7,4,6,4,12,0,4,2,0,0,14,2,6,4,0,0,6
8,0,0,0,8,0,0,6,10,0,4,12,4,6,6,0,8
9,10,8,4,8,6,2,2,0,2,6,8,2,0,6,0,0
10,0,10,6,2,12,2,4,0,4,4,6,4,4,0,0,6
11,0,2,2,2,4,8,6,4,4,0,4,2,6,4,2,14
12,0,0,0,4,0,4,8,4,0,2,6,0,14,12,8,2
13,6,6,2,4,2,6,4,6,6,4,8,8,0,2,0,0
14,0,12,10,10,0,2,4,2,8,6,4,2,0,0,2,2
15,2,0,0,0,6,8,8,0,6,2,4,6,8,0,6,8
16,0,0,0,4,0,2,8,6,0,6,4,10,8,4,8,4
17,6,10,10,4,4,2,0,4,4,0,2,8,4,2,2,2
18,0,0,8,8,2,8,2,8,6,4,2,8,0,0,8,0
19,4,4,2,2,8,6,0,2,2,2,0,4,6,8,14,0
20,0,8,6,2,8,8,2,6,4,2,0,2,8,6,0,2
21,4,4,8,2,4,0,4,10,8,2,4,4,4,2,0,4
22,0,6,10,2,2,2,2,4,10,8,2,2,0,4,10,0
23,8,2,4,2,6,4,0,6,4,4,2,2,0,4,8,8
24,0,16,2,2,6,0,6,0,6,2,8,0,6,0,2,8
25,0,8,0,2,4,4,10,4,8,0,6,4,2,6,2,4
26,0,2,4,8,12,4,0,6,4,4,0,2,0,6,4,8
27,0,6,2,6,4,2,4,4,6,4,8,4,2,0,10,2
28,0,8,4,4,2,6,6,6,6,4,6,8,0,2,0,2
29,4,4,4,0,0,2,4,2,4,2,2,4,10,10,8,4
30,0,0,2,2,12,6,2,0,12,2,2,4,2,6,8,4
31,2,2,10,14,2,4,2,4,4,6,0,2,4,8,0,0
32,0,0,0,14,0,8,4,2,0,4,2,8,2,6,0,14
33,4,2,6,2,12,2,4,0,6,4,10,2,4,2,2,2
34,10,6,0,2,4,4,10,0,4,0,12,2,8,0,0,2
35,0,6,2,2,2,4,6,10,0,4,8,2,2,6,0,10
36,4,2,0,6,8,2,6,0,8,2,2,0,8,2,12,2
37,2,0,2,16,2,4,6,4,6,8,2,4,0,6,0,2
38,6,10,0,10,0,6,4,4,2,2,4,6,2,4,2,2
39,4,0,2,0,2,2,14,0,4,6,6,2,12,2,4,4
40,14,4,6,4,4,6,2,0,6,6,2,2,4,0,2,2
41,2,2,0,2,0,8,4,2,4,6,4,4,6,4,12,4
42,2,4,0,0,0,2,8,12,0,8,2,4,8,4,4,6
43,16,6,2,4,6,10,2,2,2,2,2,2,4,2,2,0
44,2,6,6,8,2,2,0,6,0,8,4,2,2,6,8,2
45,6,2,4,2,8,8,2,8,2,4,4,0,2,0,8,4
46,2,4,8,0,2,2,2,4,0,2,8,4,14,6,0,6
47,2,2,2,8,0,2,2,6,4,6,8,8,6,2,0,6
48,0,6,8,2,8,4,4,0,10,4,4,6,0,0,2,6
49,0,8,4,0,6,2,2,6,6,0,0,2,6,4,8,10
50,2,4,0,0,6,4,10,6,6,4,6,2,4,6,2,2
51,0,16,6,8,2,0,2,2,4,2,8,4,0,4,6,0
52,0,4,14,8,2,2,2,4,16,2,2,2,0,2,0,4
53,0,6,0,0,10,8,2,2,6,0,0,8,6,4,4,8
54,2,0,2,2,4,6,4,4,2,2,4,2,4,16,10,0
55,6,6,6,8,4,2,4,4,4,0,6,8,2,4,0,0
56,0,2,2,2,8,8,0,2,2,2,0,6,6,4,10,10
57,4,4,16,8,0,6,4,2,4,4,2,6,0,2,2,0
58,16,6,4,0,2,0,2,6,0,4,8,10,0,0,4,2
59,2,0,0,2,0,4,4,4,2,6,2,6,6,12,12,2
60,0,0,8,0,12,8,2,6,6,4,0,2,2,4,6,4
61,2,4,12,2,2,2,0,4,6,10,2,6,4,2,0,6
62,4,6,6,6,2,0,4,8,2,10,4,6,0,4,2,0
63,14,0,0,0,8,0,6,8,4,2,0,0,4,8,4,6
