,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,6,0,16,10,0,0,0,6,0,14,6,2,4
2,0,0,0,8,0,10,4,2,0,10,2,4,8,8,6,2
3,6,0,2,8,2,6,4,0,6,6,6,2,2,0,8,6
4,0,0,0,2,0,4,6,12,0,6,8,4,10,4,8,0
5,4,10,6,0,0,2,6,0,4,10,4,6,8,2,0,2
6,0,0,10,4,6,4,4,8,2,6,4,2,4,2,2,6
7,6,2,8,2,8,10,6,6,4,2,0,4,0,0,0,6
8,0,0,0,4,0,6,4,2,0,8,6,10,8,2,2,12
9,8,4,0,6,0,4,4,6,2,4,6,2,12,2,0,4
10,0,0,16,4,6,6,4,0,4,6,4,2,2,0,0,10
11,2,8,0,6,2,6,0,4,4,10,0,2,10,2,6,2
12,0,0,0,2,0,10,10,6,0,6,6,6,2,6,10,0
13,6,0,4,10,2,0,8,6,2,2,6,10,2,2,2,2
14,0,0,6,8,4,8,0,2,10,6,2,4,6,2,4,2
15,8,0,4,2,2,4,2,2,2,6,4,6,0,2,14,6
16,0,0,0,4,0,0,8,12,0,0,8,8,2,10,6,6
17,0,6,4,6,2,2,6,6,4,6,4,6,0,4,4,4
18,0,4,0,8,6,2,8,4,2,4,4,6,2,4,10,0
19,4,2,2,6,8,6,2,2,14,2,2,4,2,2,2,4
20,0,16,4,2,6,0,2,6,4,0,4,6,4,6,4,0
21,0,10,6,0,6,0,2,8,2,2,0,8,2,6,6,6
22,0,12,6,4,6,0,0,0,8,6,6,2,2,6,4,2
23,0,6,8,0,6,2,4,6,6,0,2,6,4,4,2,8
24,0,12,2,2,8,0,8,0,10,4,4,2,4,2,0,6
25,6,4,8,0,8,0,4,2,0,0,12,2,4,6,2,6
26,0,4,6,2,8,8,0,4,8,0,0,0,6,2,0,16
27,2,4,8,10,2,4,2,8,2,4,8,2,0,2,4,2
28,0,12,6,4,6,4,2,2,6,0,4,4,2,10,2,0
29,8,6,0,0,10,0,0,8,10,4,2,2,2,8,4,0
30,0,4,8,6,8,2,4,4,10,2,2,4,2,0,6,2
31,4,2,4,2,6,2,4,0,2,6,2,2,2,16,8,2
32,0,0,0,16,0,4,0,0,0,14,6,4,2,0,4,14
33,0,0,2,10,2,8,10,0,0,6,6,0,10,2,2,6
34,8,0,6,0,6,4,10,2,0,6,8,0,4,4,2,4
35,4,8,0,6,0,4,8,6,2,2,10,4,8,0,0,2
36,4,0,4,8,4,6,2,4,8,6,2,0,0,4,4,8
37,0,4,6,8,2,8,8,0,4,2,4,4,2,2,6,4
38,2,6,0,6,4,4,4,6,6,0,4,4,10,4,2,2
39,6,6,0,0,2,2,6,2,4,4,6,10,2,6,2,6
40,10,2,6,2,4,12,12,0,2,2,4,0,0,0,2,6
41,4,0,0,14,2,10,4,2,8,6,4,0,4,2,2,2
42,8,8,0,2,0,2,4,0,2,6,8,14,2,8,0,0
43,2,2,0,0,4,2,10,4,6,2,4,0,6,4,8,10
44,2,6,6,2,4,6,2,0,2,6,4,0,6,4,10,4
45,8,0,4,4,6,2,0,0,6,8,2,4,6,4,4,6
46,6,2,2,4,2,2,6,12,4,0,4,2,8,8,0,2
47,8,12,4,6,6,4,2,2,2,2,4,2,2,4,0,4
48,0,4,6,2,10,2,2,2,4,8,0,0,8,4,6,6
49,4,6,8,0,4,6,0,4,4,6,10,2,2,4,4,0
50,6,6,6,2,4,6,0,2,0,6,8,2,2,6,6,2
51,6,6,4,2,4,0,0,10,2,2,0,6,8,4,0,10
52,0,2,12,4,10,4,0,4,12,0,2,4,2,2,2,4
53,6,4,4,0,10,0,0,4,10,0,0,4,2,8,8,4
54,4,6,2,2,2,2,6,8,6,4,2,6,0,4,10,0
55,2,2,8,2,4,4,4,2,6,2,0,10,6,10,2,0
56,0,4,8,4,2,6,6,2,4,2,2,4,6,4,4,6
57,4,4,4,8,0,6,0,6,4,8,2,2,2,4,8,2
58,8,8,0,4,2,0,10,4,0,0,0,4,8,6,8,2
59,8,2,6,4,4,4,4,0,6,4,4,6,4,4,4,0
60,0,6,6,6,6,0,0,8,8,2,4,8,4,2,4,0
61,2,2,8,0,10,0,2,12,0,4,0,8,0,2,6,8
62,6,4,0,0,4,4,0,10,6,2,6,12,2,4,0,4
63,0,6,6,0,4,4,6,10,0,6,8,2,0,4,8,0
