,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,-2,-2,0,2,0,-2,0,-2,4,-4,-2,0,6
3,-2,0,2,-2,4,-6,4,-2,-4,6,0,-4,2,0,2
4,-2,-2,0,0,2,-2,-4,2,0,4,-2,6,0,0,14
5,-2,-2,0,0,2,6,4,-2,12,-8,2,-6,4,4,2
6,0,2,2,2,6,0,-4,4,4,2,2,2,-2,4,-8
7,-4,2,-10,-6,2,8,0,0,-4,-2,2,-2,-2,0,0
8,0,2,-2,0,0,2,-2,-2,2,0,0,2,-2,4,-4
9,4,-2,-2,4,0,-6,2,2,2,0,12,-6,-6,0,-4
10,2,-2,0,2,4,-4,-2,0,-2,-2,4,6,-4,0,-2
11,2,2,12,6,8,4,-2,4,-6,-2,4,-2,-4,4,2
12,-2,0,-2,0,2,0,-6,0,2,-4,-10,0,6,4,-6
13,2,-4,-2,4,2,0,6,0,-2,0,6,-4,6,4,-2
14,0,0,4,-2,2,2,2,-2,-6,2,2,4,4,4,0
15,0,4,0,-6,-2,-6,2,-2,2,6,6,8,0,4,0
16,0,0,0,0,0,0,-8,0,0,0,0,0,-8,0,-16
17,0,0,0,0,-8,0,0,0,8,0,-8,0,8,0,0
18,2,0,-2,-2,0,2,8,-2,0,-2,4,-4,6,0,-10
19,-2,0,2,-2,-4,10,4,-2,4,-10,8,-4,-6,0,2
20,-2,-6,-4,4,-2,-2,-4,-2,4,-4,-2,-2,0,4,2
21,-2,2,4,-12,6,-2,4,-6,-8,-8,2,2,4,0,-2
22,0,6,-10,-2,-6,0,-4,8,0,-6,2,-6,-2,0,4
23,-4,-2,2,6,-2,0,0,4,0,-2,2,6,-2,4,4
24,-4,2,2,0,4,2,2,6,-2,0,-4,2,2,-4,-8
25,0,6,10,-4,4,-6,-2,2,-2,0,0,-6,-2,0,0
26,-2,6,-4,-6,0,-4,2,0,2,-2,0,6,0,0,2
27,-2,2,0,-10,4,4,-6,-4,-2,-2,-8,-2,0,-4,-2
28,-6,-4,-2,4,2,0,6,4,2,4,2,8,2,0,-6
29,-2,-8,-2,0,2,-8,2,-4,-2,0,2,4,2,0,-2
30,-4,-4,4,2,2,2,-2,2,-6,-6,-2,-4,0,0,0
31,-4,0,0,-10,-2,2,-2,-6,2,6,2,0,-4,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2,4,-2,2,0,-6,4,-2,-4,-6,-4,0,-2,16,2
35,2,-4,2,2,-4,-6,8,-2,0,-6,-8,0,-6,-8,-2
36,2,2,-8,0,6,2,4,-2,0,4,2,2,0,0,2
37,2,2,-8,0,6,-6,-4,2,4,0,-2,-2,-4,-4,-2
38,8,2,-6,-2,-6,-4,0,0,-8,6,-2,-6,-2,4,0
39,-4,-6,-2,-10,-2,-4,4,4,0,2,6,-2,-2,0,0
40,0,2,-2,0,0,-6,6,-6,-2,-4,-4,-2,-6,-8,0
41,4,-2,-2,4,0,2,-6,-2,-2,-4,8,6,6,-12,0
42,-2,2,0,-2,-4,4,2,4,-2,-2,0,6,-8,4,-2
43,-10,-2,-4,2,8,4,2,-8,2,6,0,-2,0,0,2
44,-6,4,-2,0,-2,-4,-14,0,-2,0,6,0,2,0,2
45,-2,0,-2,4,-2,-4,-2,-8,2,-4,-2,4,-6,8,-2
46,0,0,4,2,-10,-2,-2,-10,2,2,2,0,0,0,-4
47,8,-4,0,-2,10,-2,-2,-2,10,6,-2,-4,-4,0,4
48,-4,0,4,0,4,0,4,0,4,0,-4,0,-12,0,4
49,4,0,-4,0,4,0,4,0,4,0,-4,0,-4,0,-4
50,-6,-4,-6,2,4,2,0,-2,0,2,0,0,2,8,-2
51,6,4,6,2,0,2,4,-2,4,2,-4,0,6,0,2
52,-2,-10,0,-4,-2,2,0,2,0,-4,-2,10,-4,-4,2
53,6,-2,0,-4,-2,2,0,6,4,0,2,6,0,0,-2
54,4,6,2,2,-6,4,4,-4,0,6,2,2,-6,0,0
55,0,6,6,-6,-2,-4,0,0,8,-6,2,6,2,4,0
56,8,10,-2,0,8,2,-2,-6,6,-4,4,6,2,0,0
57,4,-2,-2,-4,0,-6,2,6,-2,-4,0,-2,6,4,0
58,-10,10,0,6,-4,4,2,-4,-2,6,0,-2,0,-4,-2
59,6,-2,-4,2,0,4,2,-8,-6,-2,0,6,0,0,2
60,2,0,2,-4,-6,4,2,4,2,8,-2,0,2,4,-2
61,-2,12,-6,8,2,-4,6,4,-2,-4,-2,4,2,-4,2
62,-8,4,0,-2,2,-2,6,10,6,2,2,0,0,-4,0
63,-8,0,4,2,-2,-10,-2,-6,6,-2,6,-4,4,-4,0
