,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,-6,4,-4,2,2,2,2,0,0,-2,-2,0,0
3,0,0,-2,6,0,0,2,-6,2,2,-4,-4,-6,2,0,8
4,0,0,2,2,0,-4,-6,-2,4,4,10,2,4,0,-6,6
5,0,0,2,10,0,4,-6,-2,0,-8,6,-2,0,-4,6,10
6,0,4,0,-4,-8,0,4,-4,-2,-6,-2,2,6,-2,2,-6
7,0,-4,4,0,4,4,-4,4,2,-2,6,2,6,-2,-2,-2
8,0,-4,0,4,-2,-2,-2,6,-4,4,0,0,-2,2,2,-2
9,0,4,-4,0,2,-6,-2,-10,0,0,0,0,-2,-6,-2,-6
10,0,0,-2,-10,2,-2,-4,0,2,6,0,4,0,0,2,2
11,0,0,-2,-2,10,-2,-4,0,6,-6,4,0,4,-4,-2,-2
12,0,0,-2,-2,2,-6,0,0,0,-4,-2,2,-2,-6,4,0
13,0,0,2,2,-2,-2,0,-8,0,4,2,-2,2,-2,-4,-8
14,0,0,0,0,2,2,6,-2,-2,-6,-6,6,-4,-8,-4,0
15,0,0,0,0,2,2,-2,6,6,-6,2,6,-4,0,4,0
16,0,-2,2,4,0,-2,-2,0,-2,4,4,6,-2,-4,8,-14
17,0,2,-2,4,-4,-2,-2,4,-2,0,0,-2,10,4,-8,-2
18,0,-2,0,2,-4,2,-4,-10,0,-2,0,-14,4,-6,4,-2
19,0,2,0,6,4,6,4,-6,0,-6,0,-2,-4,6,-4,-6
20,0,2,8,6,0,-10,4,-2,6,8,-2,-4,-2,-4,2,4
21,0,-2,-4,-2,4,-2,4,-6,2,0,-2,0,-2,0,-2,-4
22,0,-2,2,-4,-8,2,2,0,0,-2,-2,0,0,-6,-2,4
23,0,2,2,-8,-8,-10,2,-4,-12,6,2,0,4,2,2,4
24,0,2,-2,-4,2,0,-4,6,2,8,0,-6,0,2,2,-8
25,0,-2,6,-8,2,-4,-4,-6,6,0,12,2,-4,2,-2,0
26,0,-2,0,2,-2,0,-2,4,0,2,-4,2,2,0,-2,0
27,0,2,4,2,2,0,6,0,4,2,4,-2,2,4,2,0
28,0,2,0,-2,-2,8,2,0,2,0,6,0,-4,2,4,-2
29,0,-2,8,2,-2,-4,2,4,2,-4,-2,4,-12,-2,-4,-6
30,0,2,6,-4,-2,0,4,2,8,-2,-2,0,2,0,0,2
31,0,-2,2,4,2,0,4,-2,0,2,2,0,6,0,0,-2
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,2,2,-4,4,-6,2,2,2,0,-8,-2,-2,-16,-8
35,0,0,-2,-2,0,0,2,2,2,2,-4,4,2,-6,-8,8
36,0,0,-2,6,0,4,-2,2,-4,4,-2,6,4,0,-2,2
37,0,0,-2,-2,0,-4,-2,2,0,0,2,-6,-8,4,2,-2
38,0,-4,-4,0,-8,0,-8,0,6,2,2,6,-2,-2,-2,-2
39,0,-12,0,4,-4,-4,8,0,2,-2,2,-2,-2,-2,-6,2
40,0,0,-4,4,-2,-6,-6,-2,4,-8,-4,8,6,14,-2,-2
41,0,0,0,0,2,-2,2,-2,0,4,-4,0,-2,6,-6,2
42,0,-4,2,-2,2,2,0,0,-6,2,4,4,0,-4,-2,2
43,0,4,10,6,2,2,0,-8,6,6,-8,8,4,0,2,-2
44,0,4,6,2,2,-2,0,12,0,0,-2,-2,6,-10,4,-4
45,0,-4,2,6,-2,-6,-8,4,0,0,-6,-6,-6,2,4,4
46,0,4,0,4,-6,-2,6,2,-2,-2,2,2,4,4,4,-4
47,0,12,-8,4,2,-2,-2,2,6,6,2,2,-4,-4,-4,4
48,0,2,2,0,4,6,2,0,-2,8,4,2,2,4,-4,2
49,0,6,-2,0,0,6,2,4,-2,4,0,-6,-2,-4,-4,-2
50,0,2,0,6,0,-6,0,-2,0,2,0,6,0,-6,0,-2
51,0,6,0,-6,0,6,0,-6,0,-2,0,2,0,-2,0,2
52,0,-2,4,-2,-4,6,4,2,-2,4,2,4,-6,4,2,0
53,0,-6,-8,6,0,-2,4,-2,2,4,10,0,2,0,6,0
54,0,2,-2,4,-4,2,-6,-4,-8,2,2,8,-4,-6,-2,0
55,0,6,-2,0,4,-2,2,0,4,2,-2,0,0,2,2,0
56,0,2,-6,0,-2,4,4,-2,2,0,4,-2,-4,-2,2,0
57,0,6,-6,-4,-2,-8,-4,2,-2,-8,0,-2,0,-2,-2,0
58,0,6,4,-2,2,4,-10,-4,0,2,-8,-2,-2,4,6,0
59,0,2,0,-2,-18,4,-2,0,12,2,0,2,-2,0,2,0
60,0,-6,8,-2,2,4,-10,-4,-6,0,-2,0,0,-2,0,2
61,0,-2,-8,2,2,0,-2,0,-6,4,-2,4,-8,2,0,-2
62,0,-6,6,-4,2,-4,0,-2,0,-2,-2,0,-2,4,-4,-2
63,0,14,10,4,-2,-4,0,2,-8,-6,10,0,-6,4,-4,2
