,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,4,0,0,-4,0,0,0,-4,0,0,0,0,4
3,0,0,4,-8,0,8,0,-4,0,0,-8,-4,0,8,-4,8
4,0,-2,2,4,2,0,4,6,0,6,-2,0,2,0,0,10
5,0,2,2,0,2,-4,4,-6,0,-6,6,4,-6,4,0,-2
6,0,-2,-2,-4,-2,-4,0,-2,-4,2,2,0,2,0,4,10
7,0,2,2,-4,-2,0,4,-2,-4,6,6,0,-6,-4,0,2
8,0,0,2,2,-2,2,4,0,-2,-6,-4,0,0,0,10,-6
9,0,0,-2,-2,-2,2,8,4,-2,2,0,-4,0,8,-10,-2
10,0,-4,2,2,2,2,-4,-8,2,2,4,0,0,4,-6,2
11,0,4,2,10,2,2,4,0,2,2,4,0,0,-4,2,2
12,0,-2,4,-2,0,2,0,6,-2,0,2,0,2,0,-6,-4
13,0,-6,0,-2,0,6,4,-10,6,-4,6,0,2,-4,-2,4
14,0,-6,0,2,0,-2,-8,6,-2,4,2,0,2,4,-2,0
15,0,-2,0,-2,0,2,0,10,6,8,2,4,2,0,-2,4
16,0,0,-4,4,0,0,0,0,0,0,4,4,4,-12,-4,-12
17,0,0,0,0,0,-8,4,4,0,0,8,0,-4,4,8,0
18,0,0,0,4,0,8,0,4,0,0,-4,8,-4,-12,0,12
19,0,0,-8,4,0,8,8,4,0,0,-4,0,4,-4,8,-4
20,0,-2,-6,-4,-2,4,-4,-2,-4,2,2,-4,6,-4,0,2
21,0,10,-2,-4,-2,0,0,-2,4,6,6,-4,-2,0,4,2
22,0,-2,-6,0,2,0,4,2,8,-2,2,0,6,4,0,-2
23,0,10,2,4,2,4,-4,-2,0,2,2,-4,-2,0,0,2
24,0,-4,2,-2,2,2,4,4,-2,-2,4,4,0,4,-2,2
25,0,4,-6,6,2,2,4,-4,-2,-2,4,-4,8,4,-2,2
26,0,8,-2,2,-2,2,0,0,2,6,0,0,0,0,2,-2
27,0,-8,10,6,-2,2,4,-4,2,-2,-4,-4,-8,0,-2,-6
28,0,2,8,-2,0,-2,0,2,2,0,-6,4,10,-4,2,0
29,0,-2,0,2,0,-6,0,-2,2,4,2,0,10,0,2,4
30,0,-2,0,6,0,2,4,-2,2,4,-2,0,2,0,2,0
31,0,2,-4,6,0,-2,-8,-2,-14,0,2,0,2,4,-2,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,4,0,-8,4,0,0,0,-4,-16,0,-8,-8,4
35,0,0,-4,0,0,0,0,4,0,0,0,4,0,0,-4,0
36,0,-2,-2,0,-2,-4,4,-10,0,6,-6,-4,6,4,8,2
37,0,-6,-2,4,-2,0,4,2,0,2,2,-8,-2,0,8,-2
38,0,6,-6,0,-14,0,0,-2,-4,-6,-2,4,-2,-4,-4,2
39,0,2,6,0,2,-4,-4,-2,-4,6,-6,4,6,0,0,-6
40,0,-4,2,-2,2,2,0,-8,2,2,0,8,8,-4,-6,-2
41,0,-4,-2,-6,2,2,4,-4,-6,2,-4,-4,0,-4,-2,-6
42,0,8,2,-2,6,-6,0,0,-2,2,0,0,0,0,-6,-2
43,0,0,-6,-2,6,10,0,0,-10,10,0,0,-8,0,2,-2
44,0,-6,0,6,0,-2,-4,-2,2,-8,2,4,-2,0,2,8
45,0,-2,-4,-2,0,-6,0,-10,2,4,-2,4,-10,-4,-2,0
46,0,-2,-4,2,8,2,4,-2,-6,-4,-6,4,-2,4,-2,4
47,0,-6,4,-2,-8,-2,4,2,-6,0,10,0,6,0,-2,0
48,0,0,-4,4,-4,-4,4,4,0,0,-4,-4,0,0,-8,0
49,0,0,0,0,4,-4,0,0,0,0,0,-8,0,-8,-4,4
50,0,0,0,4,4,4,4,0,0,0,4,0,0,0,-4,0
51,0,0,0,-4,-4,-4,-4,0,0,0,-4,0,0,0,4,0
52,0,-10,-2,-8,6,4,-8,2,4,2,6,-8,-2,-4,4,-2
53,0,-6,2,0,-2,0,4,2,-4,-2,-6,0,-2,0,0,-2
54,0,-2,-2,4,-6,0,8,-2,0,6,6,4,-2,4,-4,2
55,0,2,-2,-8,-14,4,0,2,8,2,-2,0,-2,0,-4,-2
56,0,0,2,2,-6,-2,-4,0,2,-2,0,-4,-4,-4,2,2
57,0,8,10,-6,2,6,4,0,-6,-10,8,-4,4,-4,2,2
58,0,-4,-2,6,-2,-2,-8,4,-2,-2,4,0,-4,0,-2,-2
59,0,-4,2,2,-10,6,-4,0,-10,-2,0,-4,4,0,2,2
60,0,-2,-4,-2,4,-2,0,-2,-2,0,2,0,2,-8,-2,0
61,0,2,4,10,-4,10,-8,-6,6,4,2,-4,2,4,-2,-4
62,0,2,-12,-2,4,2,-4,2,6,-12,-2,-4,2,4,-2,0
63,0,-2,-8,-2,-4,-2,0,-6,-2,0,2,4,2,0,2,0
