,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0
3,-4,0,8,0,0,8,-4,-4,-8,0,0,-8,0,-4,0
4,-2,-2,0,-2,0,0,-10,2,0,0,-6,0,-6,10,0
5,2,-2,-4,2,0,-4,6,2,4,0,-10,4,10,6,0
6,-2,2,0,-2,-4,-4,2,-2,-4,4,2,0,-2,2,8
7,-2,-2,4,-2,12,0,-2,2,0,12,2,4,2,2,0
8,-4,0,0,0,0,0,4,4,0,0,0,0,0,-4,0
9,0,-4,-8,4,0,8,0,0,-8,0,4,8,-4,0,0
10,-4,-4,0,4,0,0,-4,-4,0,0,4,0,-4,-4,0
11,4,-4,0,-4,0,0,-4,-4,0,0,-4,0,-4,4,0
12,-2,2,0,-2,4,4,-6,-2,4,-4,10,0,-10,-6,-8
13,-2,-2,-4,-2,4,0,-10,2,0,4,-6,-4,-6,10,0
14,-2,-2,0,-2,0,0,-2,2,0,0,2,0,2,2,0
15,2,-2,4,2,0,4,-2,2,-4,0,-2,-4,2,-2,0
16,-2,-2,0,2,4,4,10,-2,4,-4,6,0,-6,10,8
17,2,-2,-4,-2,-4,0,-6,-2,0,-4,10,-4,10,6,0
18,2,-2,0,-2,0,0,-6,-2,0,0,10,0,10,6,0
19,2,2,-4,-2,0,4,-10,2,-4,0,-6,4,6,-10,0
20,4,-4,0,-4,0,0,4,-4,0,0,-4,0,-4,-4,0
21,4,4,8,-4,0,0,4,4,0,0,4,-8,-4,4,0
22,8,-4,0,4,8,-8,0,8,-8,-8,4,0,-4,0,0
23,4,8,8,8,0,0,-4,-4,0,0,0,8,0,4,0
24,2,-2,0,-2,0,0,2,-2,0,0,2,0,2,-2,0
25,2,2,4,-2,0,-4,-2,2,4,0,2,-4,-2,-2,0
26,-2,-2,0,2,-4,-4,2,-2,-4,4,-2,0,2,2,-8
27,2,-2,-12,-2,4,0,2,-2,0,4,2,-12,2,-2,0
28,-4,0,0,0,8,-8,4,-4,-8,-8,0,0,0,4,0
29,0,-4,-8,-4,0,0,0,0,0,0,4,-8,4,0,0
30,-8,0,0,0,0,0,0,8,0,0,0,0,0,0,0
31,0,-8,8,8,0,0,0,0,0,0,0,-8,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,0,0,0,-8,8,4,4,8,8,0,0,0,4,-16
35,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0
36,2,2,0,-2,4,4,6,2,4,-4,2,0,-2,6,-8
37,-2,2,4,2,-4,0,-2,2,0,-4,6,4,6,2,0
38,-10,2,0,2,0,0,-2,10,0,0,-2,0,-2,2,0
39,-2,-10,4,10,0,4,2,-2,-4,0,-2,-4,2,2,0
40,0,4,0,-4,8,-8,0,0,-8,-8,-4,0,4,0,-16
41,-4,0,0,0,0,0,4,4,0,0,0,0,0,-4,0
42,4,-4,0,-4,0,0,-4,-4,0,0,-4,0,-4,4,0
43,4,4,0,-4,0,16,4,4,-16,0,-4,0,4,4,0
44,-2,2,0,2,0,0,-2,2,0,0,6,0,6,2,0
45,-2,-2,-4,2,0,-4,-6,-2,4,0,-2,4,2,-6,0
46,2,10,0,-10,-4,-4,-2,2,-4,4,2,0,-2,-2,8
47,-10,2,-4,2,-12,0,-2,10,0,-12,-2,-4,-2,2,0
48,-2,-2,0,-2,0,0,6,2,0,0,2,0,2,-6,0
49,2,-2,-4,2,0,4,-2,2,-4,0,6,4,-6,-2,0
50,-2,2,0,-2,4,4,2,-2,4,-4,-6,0,6,2,8
51,-2,-2,4,-2,4,0,6,2,0,4,2,4,2,-6,0
52,0,8,0,-8,8,8,0,0,8,-8,0,0,0,0,0
53,-8,0,0,0,8,0,0,8,0,8,0,0,0,0,0
54,0,-4,0,-4,0,0,0,0,0,0,4,0,4,0,0
55,4,0,8,0,0,0,-4,4,0,0,0,-8,0,-4,0
56,-10,2,0,-2,-4,-4,2,-10,-4,4,2,0,-2,2,-8
57,-2,-10,12,-10,-4,0,-2,2,0,-4,2,12,2,2,0
58,-2,-10,0,-10,0,0,-2,2,0,0,2,0,2,2,0
59,10,-2,4,2,0,-4,-2,10,4,0,-2,-4,2,-2,0
60,4,8,0,8,0,0,-4,-4,0,0,0,0,0,4,0
61,-8,4,8,-4,0,0,0,-8,0,0,-4,-8,4,0,0
62,-4,-4,0,4,8,8,-4,-4,8,-8,-4,0,4,-4,0
63,4,-4,0,-4,-8,0,4,-4,0,-8,-4,0,-4,-4,0
