     0  1  2  3  4  5  6  7  8  9  A  B  C  D  E  F  
----------------------------------------------------
0  | 64 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
1  | 0  0  0  0  0  16 16 0  0  16 16 0  0  0  0  0  
2  | 0  0  0  8  0  4  4  8  0  4  4  8  8  8  8  0  
3  | 8  6  2  0  2  4  8  2  6  0  4  6  0  6  2  8  
4  | 0  0  0  8  0  0  12 4  0  12 0  4  8  4  4  8  
5  | 4  2  2  8  2  12 0  2  2  0  12 2  8  2  2  4  
6  | 0  8  8  4  8  8  0  0  8  0  8  0  4  0  0  8  
7  | 4  2  6  4  6  0  16 6  2  0  0  2  4  2  6  4  
8  | 0  0  0  4  0  8  4  8  0  4  8  8  4  8  8  0  
9  | 8  4  4  4  4  0  8  4  4  0  0  4  4  4  4  8  
A  | 0  6  6  0  6  4  4  6  6  4  4  6  0  6  6  0  
B  | 0  12 0  8  0  0  0  0  12 0  0  12 8  12 0  0  
C  | 0  0  0  4  0  8  4  8  0  4  8  8  4  8  8  0  
D  | 8  4  4  4  4  0  0  4  4  8  0  4  4  4  4  8  
E  | 0  6  6  4  6  0  4  6  6  4  0  6  4  6  6  0  
F  | 0  6  6  4  6  4  0  6  6  0  4  6  4  6  6  0  
10 | 0  0  0  0  0  8  12 4  0  12 8  4  0  4  4  8  
11 | 4  2  2  16 2  4  0  2  2  0  4  2  16 2  2  4  
12 | 0  0  0  8  0  4  4  8  0  4  4  8  8  8  8  0  
13 | 8  2  6  0  6  4  0  6  2  8  4  2  0  2  6  8  
14 | 0  8  8  0  8  0  8  0  8  8  0  0  0  0  0  16 
15 | 8  4  4  0  4  8  0  4  4  0  8  4  0  4  4  8  
16 | 0  8  8  4  8  8  0  0  8  0  8  0  4  0  0  8  
17 | 4  6  2  4  2  0  0  2  6  16 0  6  4  6  2  4  
18 | 0  8  8  8  8  4  0  0  8  0  4  0  8  0  0  8  
19 | 4  4  4  0  4  4  16 4  4  0  4  4  0  4  4  4  
1A | 0  6  6  4  6  0  4  6  6  4  0  6  4  6  6  0  
1B | 0  6  6  4  6  4  0  6  6  0  4  6  4  6  6  0  
1C | 0  8  8  8  8  4  0  0  8  0  4  0  8  0  0  8  
1D | 4  4  4  0  4  4  0  4  4  16 4  4  0  4  4  4  
1E | 0  6  6  0  6  4  4  6  6  4  4  6  0  6  6  0  
1F | 0  0  12 8  12 0  0  12 0  0  0  0  8  0  12 0  
20 | 0  0  0  8  0  0  0  12 0  0  0  12 8  12 12 0  
21 | 0  4  8  0  8  4  8  8  4  0  4  4  0  4  8  0  
22 | 8  2  2  0  2  4  8  6  2  8  4  6  0  6  6  0  
23 | 4  6  2  8  2  4  0  2  6  0  4  6  8  6  2  4  
24 | 0  6  6  4  6  4  0  6  6  0  4  6  4  6  6  0  
25 | 0  8  4  4  4  0  0  4  8  8  0  8  4  8  4  0  
26 | 0  6  6  0  6  4  8  2  6  8  4  2  0  2  2  8  
27 | 4  6  2  8  2  4  0  2  6  0  4  6  8  6  2  4  
28 | 16 4  4  0  4  4  4  4  4  4  4  4  0  4  4  0  
29 | 0  6  2  8  2  4  0  2  6  8  4  6  8  6  2  0  
2A | 0  2  2  16 2  4  4  2  2  4  4  2  16 2  2  0  
2B | 8  0  4  0  4  8  16 4  0  0  8  0  0  0  4  8  
2C | 8  4  4  4  4  0  8  4  4  8  0  4  4  4  4  0  
2D | 4  2  6  4  6  8  0  6  2  0  8  2  4  2  6  4  
2E | 16 0  0  0  0  16 0  0  0  0  16 0  0  0  0  16 
2F | 16 0  0  0  0  0  16 0  0  16 0  0  0  0  0  16 
30 | 0  6  6  4  6  4  0  6  6  0  4  6  4  6  6  0  
31 | 0  8  4  4  4  0  0  4  8  8  0  8  4  8  4  0  
32 | 16 6  6  4  6  0  4  2  6  4  0  2  4  2  2  0  
33 | 0  2  6  4  6  8  8  6  2  0  8  2  4  2  6  0  
34 | 0  12 12 8  12 0  0  0  12 0  0  0  8  0  0  0  
35 | 0  4  8  0  8  4  8  8  4  0  4  4  0  4  8  0  
36 | 0  2  2  4  2  0  4  6  2  4  0  6  4  6  6  16 
37 | 0  2  6  4  6  8  8  6  2  0  8  2  4  2  6  0  
38 | 0  4  4  0  4  4  4  4  4  4  4  4  0  4  4  16 
39 | 0  6  2  8  2  4  0  2  6  8  4  6  8  6  2  0  
3A | 0  4  4  0  4  8  8  4  4  8  8  4  0  4  4  0  
3B | 16 4  4  0  4  0  0  4  4  0  0  4  0  4  4  16 
3C | 0  4  4  4  4  0  8  4  4  8  0  4  4  4  4  8  
3D | 4  2  6  4  6  8  0  6  2  0  8  2  4  2  6  4  
3E | 0  2  2  8  2  12 4  2  2  4  12 2  8  2  2  0  
3F | 8  4  0  8  0  0  0  0  4  16 0  4  8  4  0  8  
