     0  1  2  3  4  5  6  7  8  9  A  B  C  D  E  F  
----------------------------------------------------
0  | 64 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
1  | 0  0  0  2  0  4  2  12 0  14 0  4  8  2  6  10 
2  | 0  0  0  2  0  2  0  8  0  4  12 10 4  6  8  8  
3  | 8  6  10 4  8  6  0  6  4  4  0  0  0  4  2  2  
4  | 0  0  0  4  0  2  4  2  0  12 8  4  6  8  10 4  
5  | 6  2  4  8  6  10 6  2  2  8  2  0  2  0  4  2  
6  | 0  10 6  6  10 0  4  12 2  4  0  0  6  4  0  0  
7  | 2  0  0  4  4  4  4  2  10 4  4  8  4  4  4  6  
8  | 0  0  0  10 0  4  4  6  0  6  6  6  6  0  8  8  
9  | 10 2  0  2  10 4  6  2  0  6  0  4  6  2  4  6  
A  | 0  10 6  0  14 6  4  0  4  6  6  0  4  0  2  2  
B  | 2  6  2  10 2  2  4  0  4  2  6  0  2  8  14 0  
C  | 0  0  0  8  0  12 12 4  0  8  0  4  2  10 2  2  
D  | 8  2  8  0  0  4  2  0  2  8  14 2  6  2  4  2  
E  | 0  4  4  2  4  2  4  4  10 4  4  4  4  4  2  8  
F  | 4  6  4  6  2  2  4  8  6  2  6  2  0  6  2  4  
10 | 0  0  0  4  0  12 4  8  0  4  2  6  2  14 0  8  
11 | 8  2  2  6  4  0  2  0  8  4  12 2  10 0  2  2  
12 | 0  2  8  2  4  8  0  8  8  0  2  2  4  2  14 0  
13 | 4  4  12 0  2  2  2  10 2  2  2  2  4  4  4  8  
14 | 0  6  4  4  6  4  6  2  8  6  6  2  2  0  0  8  
15 | 4  8  2  8  2  4  8  0  4  2  2  2  2  6  8  2  
16 | 0  6  10 2  8  4  2  0  2  2  2  8  4  6  4  4  
17 | 0  6  6  0  6  2  4  4  6  2  2  10 6  8  2  0  
18 | 0  8  4  6  6  0  6  2  4  0  4  2  10 0  6  6  
19 | 4  2  4  8  4  2  10 2  2  2  6  8  2  6  0  2  
1A | 0  8  6  4  4  0  6  4  4  8  0  10 2  2  2  4  
1B | 4  10 2  0  2  4  2  4  8  2  2  8  4  2  8  2  
1C | 0  6  8  8  4  2  8  0  12 0  10 0  4  0  2  0  
1D | 0  2  0  6  2  8  4  6  2  0  4  2  4  10 0  14 
1E | 0  4  8  2  4  6  0  4  10 0  2  6  4  8  4  2  
1F | 0  6  8  0  10 6  4  6  4  2  2  10 4  0  0  2  
20 | 0  0  0  0  0  4  4  8  0  2  2  4  10 16 12 2  
21 | 10 8  8  0  8  4  2  4  0  6  6  6  0  0  2  0  
22 | 12 6  4  4  2  4  10 2  0  4  4  2  4  4  0  2  
23 | 2  2  0  6  0  2  4  0  4  12 4  2  6  4  8  8  
24 | 4  8  2  12 6  4  2  10 2  2  2  4  2  0  4  0  
25 | 6  0  2  0  8  2  0  2  8  8  2  2  4  4  10 6  
26 | 6  2  0  4  4  0  4  0  4  2  14 0  8  10 0  6  
27 | 0  2  4  16 8  6  6  6  0  2  4  4  0  2  2  2  
28 | 6  2  10 0  6  4  0  4  4  2  4  8  2  2  8  2  
29 | 0  2  8  4  0  4  0  6  4  10 4  8  4  4  4  2  
2A | 2  6  0  4  2  4  4  6  4  8  4  4  4  2  4  6  
2B | 10 2  6  6  4  4  8  0  4  2  2  0  2  4  4  6  
2C | 10 4  6  2  4  2  2  2  4  10 4  4  0  2  6  2  
2D | 4  2  4  4  4  2  4  16 2  0  0  4  4  2  6  6  
2E | 4  0  2  10 0  6  10 4  2  6  6  2  2  0  2  8  
2F | 8  2  0  0  4  4  4  2  6  4  6  2  4  8  4  6  
30 | 0  10 8  6  2  0  4  2  10 4  4  6  2  0  6  0  
31 | 2  6  2  0  4  2  8  8  2  2  2  0  2  12 6  6  
32 | 2  0  4  8  2  8  4  4  8  4  2  8  6  2  0  2  
33 | 4  4  6  8  6  6  0  2  2  2  6  4  12 0  0  2  
34 | 0  6  2  2  16 2  2  2  12 2  4  0  4  2  0  8  
35 | 4  6  0  10 8  0  2  2  6  0  0  6  2  10 2  6  
36 | 4  4  4  4  0  6  6  4  4  4  4  4  0  6  2  8  
37 | 4  8  2  4  2  2  6  0  2  4  8  4  10 0  6  2  
38 | 0  8  12 0  2  2  6  6  2  10 2  2  0  8  0  4  
39 | 2  6  4  0  6  4  6  4  8  0  4  4  2  4  8  2  
3A | 6  0  2  2  4  6  4  4  4  2  2  6  12 2  6  2  
3B | 2  2  6  0  0  10 4  8  4  2  4  8  4  4  0  6  
3C | 0  2  4  2  12 2  0  6  2  0  2  8  4  6  4  10 
3D | 4  6  8  6  2  2  2  2  10 2  6  6  2  4  2  0  
3E | 8  6  4  4  2  10 2  0  2  2  4  2  4  2  10 2  
3F | 2  6  4  0  0  10 8  2  2  8  6  4  6  2  0  4  
