     0  1  2  3  4  5  6  7  8  9  A  B  C  D  E  F  
----------------------------------------------------
0  | 64 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
1  | 0  0  0  4  0  10 8  6  0  4  2  2  12 10 2  4  
2  | 0  0  0  4  0  10 6  4  0  6  4  2  4  8  10 6  
3  | 8  2  4  6  4  4  2  2  6  8  6  4  4  0  2  2  
4  | 0  0  0  8  0  4  10 6  0  6  6  4  8  6  0  6  
5  | 12 2  0  4  0  4  8  2  4  0  16 2  0  2  0  8  
6  | 0  8  4  6  4  6  2  2  4  4  6  0  6  0  2  10 
7  | 2  0  4  8  4  2  6  6  2  8  6  2  2  0  6  6  
8  | 0  0  0  2  0  8  10 4  0  4  10 4  8  4  4  6  
9  | 8  6  0  4  0  6  6  2  2  10 2  8  6  2  0  2  
A  | 0  6  8  6  0  8  0  0  8  10 4  2  8  0  0  4  
B  | 4  2  2  4  8  10 6  4  2  6  2  2  6  2  2  2  
C  | 0  0  0  10 0  2  10 2  0  6  10 6  6  6  2  4  
D  | 10 4  2  2  0  6  16 0  0  2  10 2  2  4  0  4  
E  | 0  6  4  8  4  6  10 2  4  4  4  2  4  0  2  4  
F  | 4  4  0  8  0  2  0  2  8  2  4  2  8  4  4  12 
10 | 0  0  0  0  0  4  4  12 0  2  8  10 4  6  12 2  
11 | 6  6  10 10 4  0  2  6  2  4  0  6  2  4  2  0  
12 | 0  2  4  2  10 4  0  10 8  6  0  6  0  6  6  0  
13 | 0  0  6  2  8  0  0  4  4  6  2  8  2  8  10 4  
14 | 0  12 2  6  4  0  4  4  8  4  4  4  6  2  4  0  
15 | 4  8  0  2  8  0  2  4  2  2  4  2  4  8  8  6  
16 | 0  6  10 2  14 0  2  2  4  4  0  6  0  4  6  4  
17 | 0  6  8  4  8  4  0  2  8  4  0  2  2  8  6  2  
18 | 0  10 8  0  6  4  0  4  4  4  6  4  4  4  0  6  
19 | 0  4  6  2  4  4  2  6  4  2  2  4  12 2  10 0  
1A | 0  2  16 2  12 2  0  6  4  0  0  4  0  4  4  8  
1B | 2  8  12 0  0  2  2  6  8  4  0  6  0  0  8  6  
1C | 0  10 2  6  6  6  6  4  8  2  0  4  4  4  2  0  
1D | 4  6  2  0  8  2  4  6  6  0  8  6  2  4  2  4  
1E | 0  2  6  2  4  0  0  2  12 2  2  6  2  10 10 4  
1F | 0  6  8  4  8  8  0  6  6  2  0  6  0  6  2  2  
20 | 0  0  0  8  0  8  2  6  0  4  4  4  6  6  8  8  
21 | 0  0  0  6  6  2  6  4  6  10 14 4  0  0  4  2  
22 | 14 4  0  10 0  2  12 2  2  2  10 2  0  0  2  2  
23 | 2  0  0  4  2  2  10 4  0  8  8  2  6  8  0  8  
24 | 6  2  8  4  4  4  6  2  2  6  6  2  6  2  2  2  
25 | 6  0  0  8  2  8  2  6  6  4  2  2  4  2  6  6  
26 | 12 0  0  4  0  4  4  4  0  8  4  0  12 8  0  4  
27 | 12 2  0  2  0  12 2  2  4  4  8  4  8  2  2  0  
28 | 2  8  4  6  2  4  6  0  6  6  4  0  2  2  2  10 
29 | 6  4  6  8  8  4  6  2  0  0  2  2  10 0  2  4  
2A | 4  4  0  2  2  4  6  2  0  0  6  4  10 4  4  12 
2B | 4  6  2  6  0  0  12 2  0  4  12 2  6  4  0  4  
2C | 8  6  2  6  4  8  6  0  4  4  0  2  6  0  6  2  
2D | 4  4  0  4  0  6  4  2  4  12 0  4  4  6  4  6  
2E | 6  0  2  4  0  6  6  4  2  10 6  10 6  2  0  0  
2F | 10 4  0  2  2  6  10 2  0  2  2  4  6  2  2  10 
30 | 0  4  8  4  6  4  0  6  10 4  2  4  2  6  4  0  
31 | 0  6  6  4  10 2  0  0  4  4  0  0  4  6  12 6  
32 | 4  6  0  2  6  4  6  0  6  0  4  6  4  10 6  0  
33 | 8  10 0  14 8  0  0  8  2  0  2  4  0  4  4  0  
34 | 0  4  4  2  14 4  0  8  6  8  2  2  0  4  6  0  
35 | 0  4  16 0  8  4  0  4  4  4  0  8  0  4  4  4  
36 | 4  4  4  6  2  2  2  12 2  4  4  8  2  4  4  0  
37 | 4  2  2  2  4  2  0  8  2  2  2  12 6  2  8  6  
38 | 0  4  8  4  12 0  0  8  10 2  0  0  0  4  2  10 
39 | 0  8  12 0  2  2  2  2  12 4  0  8  0  4  4  4  
3A | 0  14 4  0  4  6  0  0  6  2  10 8  0  0  4  6  
3B | 0  2  2  2  4  4  8  6  8  2  2  2  6  14 2  0  
3C | 0  0  10 2  6  0  0  2  6  2  2  10 2  4  10 8  
3D | 0  6  12 2  4  8  0  8  8  2  2  0  2  2  4  4  
3E | 4  4  10 0  2  4  8  8  2  2  0  2  6  8  4  0  
3F | 8  6  6  0  4  2  2  4  4  2  8  6  2  4  6  0  
